Date,Year,Daily Mean PM2.5 Concentration,UNITS,SITE_LATITUDE,SITE_LONGITUDE
09/28/2008,2008,6.2,ug/m3 LC,40.816,-73.902
09/29/2008,2008,3.6,ug/m3 LC,40.816,-73.902
09/30/2008,2008,8,ug/m3 LC,40.816,-73.902
10/01/2008,2008,11.6,ug/m3 LC,40.816,-73.902
10/02/2008,2008,4.8,ug/m3 LC,40.816,-73.902
10/03/2008,2008,8.3,ug/m3 LC,40.816,-73.902
10/04/2008,2008,7.5,ug/m3 LC,40.816,-73.902
10/05/2008,2008,14,ug/m3 LC,40.816,-73.902
10/06/2008,2008,3.9,ug/m3 LC,40.816,-73.902
10/07/2008,2008,5.7,ug/m3 LC,40.816,-73.902
10/08/2008,2008,11,ug/m3 LC,40.816,-73.902
10/09/2008,2008,18.8,ug/m3 LC,40.816,-73.902
10/10/2008,2008,9.7,ug/m3 LC,40.816,-73.902
10/11/2008,2008,6.8,ug/m3 LC,40.816,-73.902
10/12/2008,2008,8.8,ug/m3 LC,40.816,-73.902
10/13/2008,2008,15.8,ug/m3 LC,40.816,-73.902
10/14/2008,2008,8.8,ug/m3 LC,40.816,-73.902
10/15/2008,2008,9.6,ug/m3 LC,40.816,-73.902
10/16/2008,2008,14.7,ug/m3 LC,40.816,-73.902
10/17/2008,2008,3.2,ug/m3 LC,40.816,-73.902
10/18/2008,2008,4,ug/m3 LC,40.816,-73.902
10/19/2008,2008,4.5,ug/m3 LC,40.816,-73.902
10/20/2008,2008,10.8,ug/m3 LC,40.816,-73.902
10/21/2008,2008,12.6,ug/m3 LC,40.816,-73.902
10/22/2008,2008,5.2,ug/m3 LC,40.816,-73.902
10/23/2008,2008,8.2,ug/m3 LC,40.816,-73.902
10/24/2008,2008,15,ug/m3 LC,40.816,-73.902
10/25/2008,2008,5.3,ug/m3 LC,40.816,-73.902
10/26/2008,2008,9.1,ug/m3 LC,40.816,-73.902
10/27/2008,2008,14.1,ug/m3 LC,40.816,-73.902
10/28/2008,2008,3.2,ug/m3 LC,40.816,-73.902
10/29/2008,2008,5.1,ug/m3 LC,40.816,-73.902
10/30/2008,2008,6.7,ug/m3 LC,40.816,-73.902
10/31/2008,2008,11.2,ug/m3 LC,40.816,-73.902
11/01/2008,2008,17.5,ug/m3 LC,40.816,-73.902
11/02/2008,2008,6.7,ug/m3 LC,40.816,-73.902
11/03/2008,2008,13.6,ug/m3 LC,40.816,-73.902
11/04/2008,2008,24.5,ug/m3 LC,40.816,-73.902
11/05/2008,2008,7.5,ug/m3 LC,40.816,-73.902
11/06/2008,2008,2.9,ug/m3 LC,40.816,-73.902
11/07/2008,2008,10,ug/m3 LC,40.816,-73.902
11/08/2008,2008,11.4,ug/m3 LC,40.816,-73.902
11/09/2008,2008,8.5,ug/m3 LC,40.816,-73.902
11/10/2008,2008,9.5,ug/m3 LC,40.816,-73.902
11/11/2008,2008,7.6,ug/m3 LC,40.816,-73.902
11/12/2008,2008,12.7,ug/m3 LC,40.816,-73.902
11/13/2008,2008,11.1,ug/m3 LC,40.816,-73.902
11/14/2008,2008,11.8,ug/m3 LC,40.816,-73.902
11/15/2008,2008,6.4,ug/m3 LC,40.816,-73.902
11/16/2008,2008,3.9,ug/m3 LC,40.816,-73.902
11/17/2008,2008,8.4,ug/m3 LC,40.816,-73.902
11/18/2008,2008,5.9,ug/m3 LC,40.816,-73.902
11/19/2008,2008,5.1,ug/m3 LC,40.816,-73.902
11/20/2008,2008,10.8,ug/m3 LC,40.816,-73.902
11/21/2008,2008,9.2,ug/m3 LC,40.816,-73.902
11/22/2008,2008,5.8,ug/m3 LC,40.816,-73.902
11/23/2008,2008,9.2,ug/m3 LC,40.816,-73.902
11/24/2008,2008,13.5,ug/m3 LC,40.816,-73.902
11/25/2008,2008,10.6,ug/m3 LC,40.816,-73.902
11/26/2008,2008,10.8,ug/m3 LC,40.816,-73.902
11/27/2008,2008,12.9,ug/m3 LC,40.816,-73.902
11/28/2008,2008,14.6,ug/m3 LC,40.816,-73.902
11/29/2008,2008,11.4,ug/m3 LC,40.816,-73.902
11/30/2008,2008,8.6,ug/m3 LC,40.816,-73.902
12/01/2008,2008,10.8,ug/m3 LC,40.816,-73.902
12/02/2008,2008,10.5,ug/m3 LC,40.816,-73.902
12/03/2008,2008,16.1,ug/m3 LC,40.816,-73.902
12/04/2008,2008,15.4,ug/m3 LC,40.816,-73.902
12/05/2008,2008,8.6,ug/m3 LC,40.816,-73.902
12/06/2008,2008,14.9,ug/m3 LC,40.816,-73.902
12/07/2008,2008,12.2,ug/m3 LC,40.816,-73.902
12/08/2008,2008,8.9,ug/m3 LC,40.816,-73.902
12/09/2008,2008,12.4,ug/m3 LC,40.816,-73.902
12/10/2008,2008,10.6,ug/m3 LC,40.816,-73.902
12/11/2008,2008,6.5,ug/m3 LC,40.816,-73.902
12/12/2008,2008,10.2,ug/m3 LC,40.816,-73.902
12/13/2008,2008,10.6,ug/m3 LC,40.816,-73.902
12/14/2008,2008,13.6,ug/m3 LC,40.816,-73.902
12/15/2008,2008,13.8,ug/m3 LC,40.816,-73.902
12/16/2008,2008,10,ug/m3 LC,40.816,-73.902
12/17/2008,2008,13,ug/m3 LC,40.816,-73.902
12/18/2008,2008,18.2,ug/m3 LC,40.816,-73.902
12/19/2008,2008,15.6,ug/m3 LC,40.816,-73.902
12/20/2008,2008,11.5,ug/m3 LC,40.816,-73.902
12/21/2008,2008,10.7,ug/m3 LC,40.816,-73.902
12/22/2008,2008,12.1,ug/m3 LC,40.816,-73.902
12/23/2008,2008,16.2,ug/m3 LC,40.816,-73.902
12/24/2008,2008,15.3,ug/m3 LC,40.816,-73.902
12/25/2008,2008,11.6,ug/m3 LC,40.816,-73.902
12/26/2008,2008,16.8,ug/m3 LC,40.816,-73.902
12/27/2008,2008,21.6,ug/m3 LC,40.816,-73.902
12/28/2008,2008,10.1,ug/m3 LC,40.816,-73.902
12/29/2008,2008,9.5,ug/m3 LC,40.816,-73.902
12/30/2008,2008,11.6,ug/m3 LC,40.816,-73.902
12/31/2008,2008,16.6,ug/m3 LC,40.816,-73.902
01/01/2009,2009,10.9,ug/m3 LC,40.816,-73.902
01/02/2009,2009,24.5,ug/m3 LC,40.816,-73.902
01/03/2009,2009,12.9,ug/m3 LC,40.816,-73.902
01/04/2009,2009,15.6,ug/m3 LC,40.816,-73.902
01/05/2009,2009,19.5,ug/m3 LC,40.816,-73.902
01/06/2009,2009,10.8,ug/m3 LC,40.816,-73.902
01/07/2009,2009,10.2,ug/m3 LC,40.816,-73.902
01/08/2009,2009,14.1,ug/m3 LC,40.816,-73.902
01/09/2009,2009,10.8,ug/m3 LC,40.816,-73.902
01/10/2009,2009,13.3,ug/m3 LC,40.816,-73.902
01/11/2009,2009,15.4,ug/m3 LC,40.816,-73.902
